Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Store,Chrome 109.0.0.0,,,2023-02-13 08:57:41,2023-02-13 16:00:14,7h - 2m - 33.401s,FAILED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 08:57:41,2023-02-13 09:01:44,4m - 3.325s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 08:57:41,2023-02-13 08:57:41,0.019s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 08:57:41,2023-02-13 08:57:41,0.003s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 08:57:41,2023-02-13 08:57:43,1.995s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 08:57:43,2023-02-13 08:57:43,0.135s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 08:57:43,2023-02-13 08:57:43,0.004s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 08:57:43,2023-02-13 08:58:19,35.143s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 08:58:19,2023-02-13 08:58:20,1.232s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 08:58:20,2023-02-13 08:58:26,6.409s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 08:58:26,2023-02-13 08:58:47,20.379s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 08:58:47,2023-02-13 08:59:50,1m - 3.401s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 08:59:50,2023-02-13 09:00:01,10.496s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:00:01,2023-02-13 09:00:01,0.478s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:00:01,2023-02-13 09:00:12,10.907s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:00:12,2023-02-13 09:01:13,1m - 1.306s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:01:13,2023-02-13 09:01:24,10.458s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:01:24,2023-02-13 09:01:43,19.707s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:01:43,2023-02-13 09:01:44,0.551s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:01:44,2023-02-13 09:01:44,0.415s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:01:44,2023-02-13 09:05:54,4m - 9.607s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:01:44,2023-02-13 09:01:44,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:01:44,2023-02-13 09:01:44,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:01:44,2023-02-13 09:01:46,1.764s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:01:46,2023-02-13 09:01:46,0.142s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:01:46,2023-02-13 09:01:46,0.015s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:01:46,2023-02-13 09:02:22,35.523s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:02:22,2023-02-13 09:02:23,1.551s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:02:23,2023-02-13 09:02:30,6.631s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:02:30,2023-02-13 09:02:50,20.358s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:02:50,2023-02-13 09:04:01,1m - 11.064s,PASSED
shopify.store.clickOnMenuOnlineStore(),Chrome 109.0.0.0,,,2023-02-13 09:04:01,2023-02-13 09:04:12,10.418s,PASSED
shopify.store.clickOnImportTheme(),Chrome 109.0.0.0,,,2023-02-13 09:04:12,2023-02-13 09:04:12,0.450s,PASSED
shopify.store.uploadThemeFile(theme_file_local),Chrome 109.0.0.0,,,2023-02-13 09:04:12,2023-02-13 09:04:23,10.970s,PASSED
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:04:23,2023-02-13 09:05:25,1m - 1.919s,PASSED
